token	word_Dutch	word_English
aanbesteding	Aanbesteding	Tendering
aanbieder	Aanbieder	Provider
aanbieding	Aanbieding	Offer
aanbod	Aanbod	Offer
aanbouw	Aanbouw	Construction
aandacht	Aandacht	Attention
aandeel	Aandeel	Stock
aandeelhouder	Aandeelhouder	Shareholder
aandelenmarkten	Aandelenmarkten	Stock markets
aandelenportefeuille	Aandelenportefeuille	Stock portfolio
aangifte	Aangifte	Declaration
aanhangers	Aanhangers	Trailers
aankondiging	Aankondiging	Announcement
aankoop	Aankoop	Purchase
aanleiding	Aanleiding	Reason
aannemer	Aannemer	Contractor
aanslag	Aanslag	Attack
aansluiting	Aansluiting	Connection
aansprakelijkheid	Aansprakelijkheid	Responsibility
aantekenen	Aantekenen	Note
aantreden	Aantreden	Take office
aanval	Aanval	Attack
aanvraag	Aanvraag	Application
aanwijzing	Aanwijzing	Clue
aarde	Aarde	Soil
aardgas	Aardgas	Natural gas
aartsen	Aartsen	Arches
abnxamro	ABN AMRO	ABN AMRO
abp	ABP	ABP
abvakabo	Abvakabo	Abvakabo
accijns	Accijns	Excise duty
accountancy	Accountancy	Accountancy
achmea	Achmea	Achmea
achterban	Achterban	Constituency
achtergesteldexlening	Achtergestelde Lening	Subordinated loan
acm	ACM	ACM
acquisitie	Acquisitie	Acquisition
actief	Actief	Active
actieplan	Actieplan	Action plan
acties	Acties	Actions
action	Action	Action
activa	Activa	Assets
activistische	Activistische	Activist
activiteiten	Activiteiten	Activities
adidas	Adidas	Adidas
administratie	Administratie	Administration
adverteerders	Adverteerders	Advertisers
advies	Advies	Advice
adviesbureau	Adviesbureau	Consultancy
adviseur	Adviseur	Counselor
advocaatgeneraal	Advocaat-generaal	Lawyer General
advocatuur	Advocatuur	Legal profession
adyen	Adyen	Adyen
aegon	Aegon	Aegon
afboeking	Afboeking	Write off
afbouw	Afbouw	Phasing out
afdekken	Afdekken	Cover
affaire	Affaire	Affair
afgevaardigden	Afgevaardigden	Delegates
afghanistan	Afghanistan	Afghanistan
afgrond	Afgrond	Abyss
afhandeling	Afhandeling	Handling
afhankelijkheid	Afhankelijkheid	Dependence
aflopen	Aflopen	Expire
aflossen	Aflossen	Repay
aflossing	Aflossing	Redemption
afm	Afm	Afm
afnemers	Afnemers	Customers
afp	AFP	AFP
afremmen	Afremmen	Brake
afrika	Afrika	Africa
afschrijven	Afschrijven	Write off
afsplitsing	Afsplitsing	Split-off
afspraak	Afspraak	Appointment
afstemming	Afstemming	Tuning
aftrekbaar	Aftrekbaar	Deductible
afwaarderen	Afwaarderen	Downgrading
afwikkeling	Afwikkeling	Settlement
afzetmarkt	Afzetmarkt	Sales market
ag	AG	AG
agent	Agent	Agent
agentschap	Agentschap	Agency
agrarische	Agrarische	Agricultural
ahold	Ahold	Ahold
ahrend	Ahrend	Ahrend
aig	AIG	AIG
airbnb	Airbnb	Airbnb
airbus	Airbus	Airbus
airxfrancexklm	Air-france KLM	Air-france KLM
ajax	Ajax	Ajax
akkoord	Akkoord	agreement
akzoxnobel	Akzo-Nobel	Akzo-Nobel
albanie	Albaniâ	Albania
alcao	Alcao	Alcao
alcatel	Alcatel	Alcatel
alcohol	Alcohol	Alcohol
alders	Alders	Alders
alex	Alex	Alex
alibaba	Alibaba	Alibaba
alitalia	Alitalia	Alitalia
alliantie	Alliantie	Alliance
allianz	Allianz	Allianz
allochtonen	Allochtonen	Immigrants
alpinvest	Alpinvest	Alpinvest
altice	Altice	Altice
aluminium	Aluminium	Aluminium
amazon	Amazon	Amazon
ambassadeur	Ambassadeur	Ambassador
